run,task_name,model_name,method,lora_placement,lora_r,lora_alpha,lora_dropout,max_train_samples,max_train_questions,max_eval_questions,num_negative_candidates,layer_indices,trainable_parameters,train_candidate_examples,eval_candidate_examples,primary_metric,primary_metric_value,answer_selection_accuracy,mrr,matthews_correlation,f1,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
cola_ft,cola,Qwen/Qwen2.5-0.5B-Instruct,ft,attention,4,32.0,0.1,,,,,all,494034560,,,matthews_correlation,0.5230649241424101,,,0.5230649241424101,,0.8024928092042186,0.1835941194945197,0.8164058805054804,1.2307270127261003,0.3775212278560058,0.9835204803799912,0.026845637583892617,0.9731543624161074,0.8068965517241379,,
cola_lora_r4_attention,cola,Qwen/Qwen2.5-0.5B-Instruct,lora,attention,4,32.0,0.1,,,,,all,272128,,,matthews_correlation,0.5368860906731105,,,0.5368860906731105,,0.8072866730584851,0.1485556982018007,0.8514443017981993,0.7394207989783257,0.3227560488510484,0.9503728300836057,0.08437200383509108,0.9156279961649089,0.8345549738219895,,
mrpc_ft,mrpc,Qwen/Qwen2.5-0.5B-Instruct,ft,attention,4,32.0,0.1,,,,,all,494034560,,,f1,0.8952702702702703,,,,0.8952702702702703,0.8480392156862745,0.1448253919781407,0.8551746080218593,1.113245708519883,0.29037268637529007,0.9907706348305968,0.01715686274509804,0.9828431372549019,0.8528678304239401,,
mrpc_lora_r4_attention,mrpc,Qwen/Qwen2.5-0.5B-Instruct,lora,attention,4,32.0,0.1,,,,,all,272128,,,f1,0.8993055555555555,,,,0.8993055555555555,0.8578431372549019,0.12480808776123216,0.8751919122387678,0.6960309950904607,0.25641194665248024,0.9700674546682195,0.051470588235294115,0.9485294117647058,0.8682170542635659,,
rte_ft,rte,Qwen/Qwen2.5-0.5B-Instruct,ft,attention,4,32.0,0.1,,,,,all,494034560,,,accuracy,0.776173285198556,,,,,0.776173285198556,0.2123204641599626,0.7876795358400374,1.7724268620572805,0.42079061216563896,0.9870241119531394,0.02527075812274368,0.9747292418772563,0.7888888888888889,,
rte_lora_r4_attention,rte,Qwen/Qwen2.5-0.5B-Instruct,lora,attention,4,32.0,0.1,,,,,all,272128,,,accuracy,0.7545126353790613,,,,,0.7545126353790613,0.18391465595967993,0.8160853440403201,0.9514045338493451,0.3983768246486028,0.9306086701581455,0.1407942238267148,0.8592057761732852,0.7983193277310925,,
