Model & Method,# Trainable Parameters,rte,Avg4
"RoBbase (Adapter, size=16)",0.90M,0.7003610108303249,0.7003610108303249
"RoBbase (Adapter, size=48)",1.49M,0.7184115523465704,0.7184115523465704
RoBbase (BitFit),0.69M,0.6101083032490975,0.6101083032490975
RoBbase (FT),124.65M,0.776173285198556,0.776173285198556
RoBbase (LoRA r=4),0.74M,0.6931407942238267,0.6931407942238267
