run,task_name,method,lora_placement,lora_r,lora_alpha,lora_dropout,max_train_samples,layer_indices,trainable_parameters,primary_metric,primary_metric_value,matthews_correlation,f1,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
cola_ft,cola,ft,attention,4,32.0,0.1,,all,124647170,matthews_correlation,0.6032460132601336,0.6032460132601336,,0.837967401725791,0.14761917269941685,0.8523808273005832,0.8470478567691248,0.29990441242842414,0.983764104857956,0.030680728667305847,0.9693192713326941,0.8516320474777448,,
cola_lora_r4_attention,cola,lora,attention,4,32.0,0.1,,all,739586,matthews_correlation,0.5779953180551635,0.5779953180551635,,0.8283796740172579,0.09578308284324843,0.9042169171567516,0.47506179124781445,0.27597213556914657,0.9173957818508173,0.1457334611697028,0.8542665388302972,0.8608305274971941,,
mrpc_ft,mrpc,ft,attention,4,32.0,0.1,,all,124647170,f1,0.917975567190227,,0.917975567190227,0.8848039215686274,0.10619123072465464,0.8938087692753454,0.537588696393564,0.21317906559137684,0.9879426374202216,0.022058823529411766,0.9779411764705882,0.8947368421052632,,
mrpc_lora_r4_attention,mrpc,lora,attention,4,32.0,0.1,,all,739586,f1,0.8971631205673759,,0.8971631205673759,0.8578431372549019,0.0600544295701345,0.9399455704298655,0.3427381074367732,0.19711907251277533,0.9158449529399877,0.17401960784313725,0.8259803921568627,0.9347181008902077,,
rte_ft,rte,ft,attention,4,32.0,0.1,,all,124647170,accuracy,0.776173285198556,,,0.776173285198556,0.19100677844858466,0.8089932215514153,0.8858157191042173,0.40414233829600166,0.9671800636471407,0.036101083032490974,0.9638989169675091,0.7902621722846442,,
rte_lora_r4_attention,rte,lora,attention,4,32.0,0.1,,all,739586,accuracy,0.7075812274368231,,,0.7075812274368231,0.11234789575978937,0.8876521042402106,0.5889397460623002,0.3970753859865478,0.8199291231966126,0.36462093862815886,0.6353790613718412,0.8181818181818182,,
sst2_ft,sst2,ft,attention,4,32.0,0.1,,all,124647170,accuracy,0.9392201834862385,,,0.9392201834862385,0.06034918650322055,0.9396508134967795,0.34525648816191773,0.11901881927491184,0.9955906939670974,0.005733944954128441,0.9942660550458715,0.9388696655132641,,
sst2_lora_r4_attention,sst2,lora,attention,4,32.0,0.1,,all,739586,accuracy,0.9392201834862385,,,0.9392201834862385,0.04892680701689284,0.9510731929831071,0.24531730042409056,0.10805033202084093,0.9853828650857035,0.02522935779816514,0.9747706422018348,0.9470588235294117,,
