run,method,lora_placement,lora_r,max_train_samples,layer_indices,trainable_parameters,matthews_correlation,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
ft,ft,attention,4,,all,124647170,0.6032460132601336,0.837967401725791,0.14761917269941685,0.8523808273005832,0.8470478567691248,0.29990441242842414,0.983764104857956,0.030680728667305847,0.9693192713326941,0.8516320474777448,0.9789417336640027,0.03784403669724771
lora_r4_attention,lora,attention,4,,all,739586,0.5779953180551635,0.8283796740172579,0.09578308284324843,0.9042169171567516,0.47506179124781445,0.27597213556914657,0.9173957818508173,0.1457334611697028,0.8542665388302972,0.8608305274971941,0.8541806348385105,0.2855504587155963
