run,task_name,dataset_task,model_name,method,prompt_variant,trainable_parameters,max_train_examples,max_eval_examples,primary_metric,primary_metric_value,bleu,rouge_l,accuracy,exact_match_rate,fact_recall_mean,parse_rate,mean_confidence,median_confidence,confidence_correct_mean,confidence_wrong_mean,ece,calibration_accuracy,high_conf_wrong_rate,low_conf_correct_rate,abstention_rate,coverage,selective_accuracy,selective_rouge_l,mean_answer_tokens,mean_response_tokens,mean_sequence_logprob,mean_answer_logprob,abstained_by_text_rate
qwen_e2e_abstain_ft,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,ft,abstain,494032768,5000,1000,bleu,0.39209926470864037,0.39209926470864037,0.5539608444181656,0.005,0.005,0.8698400793650795,1.0,0.9429499999999997,0.95,0.946,0.942934673366834,0.93795,0.06205000000000005,0.995,0.0,0.0,1.0,0.005,0.5539608444181656,25.034,63.584,-0.44655651971600024,-0.44655651971600024,0.0
qwen_e2e_strict_ft,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,ft,strict,494032768,5000,1000,bleu,0.3704875157153863,0.3704875157153863,0.5419602916348472,0.004,0.004,0.8572654761904762,1.0,0.9401999999999997,0.94,0.94,0.9402008032128513,0.9361999999999998,0.06380000000000019,0.996,0.0,0.0,1.0,0.004,0.5419602916348472,24.199,63.376,-0.5222414115240881,-0.5222414115240881,0.0
qwen_e2e_abstain_lora,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,lora,abstain,270336,5000,1000,bleu,0.36490121362481526,0.36490121362481526,0.5332197714258612,0.0,0.0,0.8171051587301588,1.0,0.8459099999999998,0.85,0.0,0.8459099999999998,0.8459099999999998,0.15409000000000017,1.0,0.0,0.0,1.0,0.0,0.5332197714258612,24.7,62.98,-0.8255074169541395,-0.8255074169541395,0.0
qwen_e2e_strict_lora,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,lora,strict,270336,5000,1000,bleu,0.3355871884736135,0.3355871884736135,0.51952776384661,0.0,0.0,0.8002876984126983,1.0,0.8485199999999997,0.85,0.0,0.8485199999999997,0.8485199999999997,0.15148000000000028,1.0,0.0,0.0,1.0,0.0,0.51952776384661,23.476,62.969,-0.8057304044545062,-0.8057304044545062,0.0
