run,task_name,dataset_task,model_name,method,prompt_variant,trainable_parameters,max_train_examples,max_eval_examples,primary_metric,primary_metric_value,bleu,rouge_l,accuracy,exact_match_rate,fact_recall_mean,parse_rate,mean_confidence,median_confidence,confidence_correct_mean,confidence_wrong_mean,ece,calibration_accuracy,high_conf_wrong_rate,low_conf_correct_rate,abstention_rate,coverage,selective_accuracy,selective_rouge_l,mean_answer_tokens,mean_response_tokens,mean_sequence_logprob,mean_answer_logprob,abstained_by_text_rate
qwen_dart_abstain_ft,nlg_dart,dart,Qwen/Qwen2.5-0.5B-Instruct,ft,abstain,494032768,128,64,bleu,0.2940204092843957,0.2940204092843957,0.5178070080958227,0.03125,0.03125,0.5671502976190477,0.0,0.0,0.0,0.0,0.0,0.03125,0.96875,0.0,0.03125,1.0,0.0,0.0,0.0,19.21875,63.921875,-0.4599161335053523,-0.4599161335053523,0.0
qwen_dart_abstain_lora,nlg_dart,dart,Qwen/Qwen2.5-0.5B-Instruct,lora,abstain,270336,128,64,bleu,0.3491298456218425,0.3491298456218425,0.5459222385334892,0.015625,0.015625,0.641889880952381,0.984375,0.88234375,0.89,0.95,0.8812698412698413,0.8667187500000001,0.1332812499999999,0.96875,0.0,0.015625,0.984375,0.015873015873015872,0.548961791847563,20.0625,63.265625,-0.5943830457076125,-0.5943830457076125,0.0
qwen_dart_strict_ft,nlg_dart,dart,Qwen/Qwen2.5-0.5B-Instruct,ft,strict,494032768,128,64,bleu,0.30389495121378346,0.30389495121378346,0.5168147473839044,0.03125,0.03125,0.6068824404761904,0.015625,0.01484375,0.0,0.0,0.01532258064516129,0.04609375,0.95390625,0.015625,0.03125,0.984375,0.015625,0.0,0.3333333333333333,19.765625,63.953125,-0.4580102833135129,-0.4580102833135129,0.0
qwen_dart_strict_lora,nlg_dart,dart,Qwen/Qwen2.5-0.5B-Instruct,lora,strict,270336,128,64,bleu,0.33407775224629344,0.33407775224629344,0.5335172381630703,0.015625,0.015625,0.6126116071428571,1.0,0.8824999999999998,0.85,0.85,0.8830158730158731,0.866875,0.13312500000000005,0.96875,0.0,0.015625,0.984375,0.015873015873015872,0.5325795341245064,19.734375,63.40625,-0.591480896778144,-0.591480896778144,0.0
