run,task_name,dataset_task,model_name,method,prompt_variant,trainable_parameters,max_train_examples,max_eval_examples,primary_metric,primary_metric_value,bleu,rouge_l,accuracy,exact_match_rate,fact_recall_mean,parse_rate,mean_confidence,median_confidence,confidence_correct_mean,confidence_wrong_mean,ece,calibration_accuracy,high_conf_wrong_rate,low_conf_correct_rate,abstention_rate,coverage,selective_accuracy,selective_rouge_l,mean_answer_tokens,mean_response_tokens,mean_sequence_logprob,mean_answer_logprob,abstained_by_text_rate
qwen_webnlg_abstain_ft,nlg_webnlg,webnlg,Qwen/Qwen2.5-0.5B-Instruct,ft,abstain,494032768,5000,1000,bleu,0.584165095318676,0.584165095318676,0.7070615434452712,0.117,0.117,0.672847619047619,0.947,0.90025,0.95,0.9648717948717951,0.8916874292185729,0.78325,0.21675,0.827,0.0,0.056,0.944,0.1239406779661017,0.7106137806681024,28.757,63.085,-0.3670541128512709,-0.3670541128512709,0.0
qwen_webnlg_strict_ft,nlg_webnlg,webnlg,Qwen/Qwen2.5-0.5B-Instruct,ft,strict,494032768,5000,1000,bleu,0.5807418764578463,0.5807418764578463,0.705877505561699,0.118,0.118,0.6833166666666666,0.946,0.8841700000000001,0.95,0.9650000000000003,0.8733560090702948,0.76617,0.23382999999999998,0.825,0.0,0.057,0.943,0.12513255567338283,0.708937380616372,29.059,63.946,-0.20732190400803857,-0.20732190400803857,0.0
qwen_webnlg_abstain_lora,nlg_webnlg,webnlg,Qwen/Qwen2.5-0.5B-Instruct,lora,abstain,270336,5000,1000,bleu,0.5013182770497492,0.5013182770497492,0.6583966828572212,0.078,0.078,0.6424095238095238,0.955,0.8276799999999999,0.85,0.8882051282051276,0.8225596529284164,0.7496799999999999,0.2503200000000001,0.861,0.0,0.061,0.939,0.08306709265175719,0.6623211176992755,28.043,63.847,-0.31285802523024986,-0.31285802523024986,0.0
qwen_webnlg_strict_lora,nlg_webnlg,webnlg,Qwen/Qwen2.5-0.5B-Instruct,lora,strict,270336,5000,1000,bleu,0.49584099501514484,0.49584099501514484,0.6597358246455785,0.076,0.076,0.6422452380952381,0.953,0.8251199999999997,0.85,0.8689473684210526,0.8215151515151513,0.7491199999999998,0.2508800000000002,0.874,0.0,0.05,0.95,0.08,0.6635344685002851,28.301,63.642,-0.3696035921385922,-0.3696035921385922,0.0
