run,task_name,dataset_task,model_name,method,prompt_variant,trainable_parameters,max_train_examples,max_eval_examples,primary_metric,primary_metric_value,bleu,rouge_l,accuracy,exact_match_rate,fact_recall_mean,parse_rate,mean_confidence,median_confidence,confidence_correct_mean,confidence_wrong_mean,ece,calibration_accuracy,high_conf_wrong_rate,low_conf_correct_rate,abstention_rate,coverage,selective_accuracy,selective_rouge_l,mean_answer_tokens,mean_response_tokens,mean_sequence_logprob,mean_answer_logprob,abstained_by_text_rate
qwen_e2e_abstain_ft,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,ft,abstain,494032768,128,64,bleu,0.2502237970376044,0.2502237970376044,0.48774441430846566,0.0,0.0,0.7397879464285715,0.203125,0.14796874999999998,0.0,0.0,0.14796874999999998,0.14796874999999998,0.85203125,0.171875,0.0,0.828125,0.171875,0.0,0.4667634880842428,18.703125,63.953125,-0.5490012008390579,-0.5490012008390579,0.0
qwen_e2e_abstain_lora,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,lora,abstain,270336,128,64,bleu,0.27894183921152693,0.27894183921152693,0.49860880390763423,0.0,0.0,0.7990141369047619,1.0,0.8651562499999998,0.85,0.0,0.8651562499999998,0.8651562500000001,0.13484374999999993,0.984375,0.0,0.015625,0.984375,0.0,0.5003288817087232,21.1875,63.5,-0.5674337791935216,-0.5674337791935216,0.0
qwen_e2e_strict_ft,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,ft,strict,494032768,128,64,bleu,0.2305992101148923,0.2305992101148923,0.4639635258085392,0.0,0.0,0.7118303571428571,0.421875,0.26015625,0.0,0.0,0.26015625,0.26015625,0.73984375,0.296875,0.0,0.703125,0.296875,0.0,0.47050097419383013,18.78125,63.90625,-0.5227540655323963,-0.5227540655323963,0.0
qwen_e2e_strict_lora,nlg_e2e,e2e,Qwen/Qwen2.5-0.5B-Instruct,lora,strict,270336,128,64,bleu,0.26419780205202026,0.26419780205202026,0.48176586165651747,0.0,0.0,0.8015252976190476,1.0,0.8532812499999998,0.85,0.0,0.8532812499999998,0.85328125,0.14671875,1.0,0.0,0.0,1.0,0.0,0.48176586165651747,21.6875,63.625,-0.5660278520382249,-0.5660278520382249,0.0
