Model & Method,# Trainable Parameters,cola,Avg4
"RoBbase (Adapter, size=16)",0.90M,0.5676609066599885,0.5676609066599885
"RoBbase (Adapter, size=48)",1.49M,0.6032121451400153,0.6032121451400153
RoBbase (BitFit),0.69M,0.5099888407051765,0.5099888407051765
RoBbase (FT),124.65M,0.593197037544882,0.593197037544882
RoBbase (LoRA r=4),0.74M,0.5932805322494611,0.5932805322494611
