run,task_name,dataset_task,model_name,method,prompt_variant,trainable_parameters,max_train_examples,max_eval_examples,primary_metric,primary_metric_value,bleu,rouge_l,accuracy,exact_match_rate,fact_recall_mean,parse_rate,mean_confidence,median_confidence,confidence_correct_mean,confidence_wrong_mean,ece,calibration_accuracy,high_conf_wrong_rate,low_conf_correct_rate,abstention_rate,coverage,selective_accuracy,selective_rouge_l,mean_answer_tokens,mean_response_tokens,mean_sequence_logprob,mean_answer_logprob,abstained_by_text_rate
gpt2_medium_webnlg_ft,nlg_webnlg,webnlg,gpt2-medium,ft,strict,354823168,5000,1000,bleu,0.598206268402233,0.598206268402233,0.712919334254258,0.136,0.136,0.7179809523809524,0.058,0.04602,0.0,0.0611764705882353,0.04363425925925926,0.16397999999999996,0.83602,0.037,0.128,0.955,0.045,0.17777777777777778,0.747030354386112,27.039,63.925,-0.21595109186227515,-0.21595109186227515,0.0
gpt2_medium_webnlg_lora,nlg_webnlg,webnlg,gpt2-medium,lora,strict,393216,5000,1000,bleu,0.5158769899740094,0.5158769899740094,0.6705328007608343,0.104,0.104,0.6863499999999999,0.169,0.02948,0.0,0.0,0.03290178571428571,0.13312000000000002,0.86688,0.029,0.104,0.971,0.029,0.0,0.6447171164799286,25.611,63.896,-0.26905473048560213,-0.26905473048560213,0.0
